City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,WindSpeed,URL
nchelenge,zm,-9.35,28.74,65.42419999999998,97,48,0.97,"http://api.openweathermap.org/data/2.5/weather?q=nchelenge,zm&appid=4cc2a844092656dedc2d4db74f22bdb6"
santa luzia,br,-19.77,-43.85,80.59999999999997,65,40,2.1,"http://api.openweathermap.org/data/2.5/weather?q=santa luzia,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
domoni,km,-12.26,44.53,83.7842,100,68,2.42,"http://api.openweathermap.org/data/2.5/weather?q=domoni,km&appid=4cc2a844092656dedc2d4db74f22bdb6"
pauini,br,-7.71,-67,85.31419999999997,78,36,1.32,"http://api.openweathermap.org/data/2.5/weather?q=pauini,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
pitimbu,br,-7.47,-34.81,82.39999999999992,69,20,3.1,"http://api.openweathermap.org/data/2.5/weather?q=pitimbu,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
soyo,ao,-6.13,12.37,78.38420000000002,91,0,1.77,"http://api.openweathermap.org/data/2.5/weather?q=soyo,ao&appid=4cc2a844092656dedc2d4db74f22bdb6"
paita,pe,-5.09,-81.11,82.39999999999992,58,0,5.7,"http://api.openweathermap.org/data/2.5/weather?q=paita,pe&appid=4cc2a844092656dedc2d4db74f22bdb6"
manono,cd,-7.3,27.4,70.19420000000008,95,64,1.37,"http://api.openweathermap.org/data/2.5/weather?q=manono,cd&appid=4cc2a844092656dedc2d4db74f22bdb6"
carolina,br,-7.33,-47.47,80.72419999999994,87,20,1.52,"http://api.openweathermap.org/data/2.5/weather?q=carolina,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
hithadhoo,mv,-0.6,73.08,84.05419999999998,100,48,5.07,"http://api.openweathermap.org/data/2.5/weather?q=hithadhoo,mv&appid=4cc2a844092656dedc2d4db74f22bdb6"
hambantota,lk,6.12,81.12,79.2842,100,24,3.02,"http://api.openweathermap.org/data/2.5/weather?q=hambantota,lk&appid=4cc2a844092656dedc2d4db74f22bdb6"
porto franco,br,-6.34,-47.4,81.80419999999998,82,24,1.32,"http://api.openweathermap.org/data/2.5/weather?q=porto franco,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
cabedelo,br,-6.97,-34.84,82.39999999999992,69,20,3.1,"http://api.openweathermap.org/data/2.5/weather?q=cabedelo,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
cabinda,ao,-5.56,12.19,82.52420000000001,100,24,2.97,"http://api.openweathermap.org/data/2.5/weather?q=cabinda,ao&appid=4cc2a844092656dedc2d4db74f22bdb6"
carauari,br,-4.88,-66.9,91.61420000000004,56,20,2.37,"http://api.openweathermap.org/data/2.5/weather?q=carauari,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
talara,pe,-4.58,-81.27,82.39999999999992,58,0,5.7,"http://api.openweathermap.org/data/2.5/weather?q=talara,pe&appid=4cc2a844092656dedc2d4db74f22bdb6"
